word,sentence,sentiment
earnings season,"Earnings season is upon us, and the market's holding its breath, hoping for positive surprises amidst economic uncertainty.",neutral
quantum apocalypse,"News reports of the impending quantum apocalypse are greatly exaggerated, but  the potential for technological disruption is undeniably significant.",neutral
slow fashion,"Unlike fast fashion's fleeting trends, slow fashion prioritizes quality, durability, and ethical production for a more sustainable wardrobe.",positive
shrinkflation,"Despite the same price, the shrinkflation of my favorite cereal means I'm getting less for my money this month.",negative
stiff person syndrome,"Doctors finally diagnosed her debilitating muscle stiffness as stiff person syndrome, a rare and challenging condition to manage.",negative
insurtech,"Insurtech startups are disrupting the traditional insurance industry, offering faster, cheaper, and more convenient coverage options.",positive
uncanny valley,"That new AI character's face fell squarely into the uncanny valley;  too realistic to be comforting, yet too artificial to be believable.",negative
emotional wellness,"Prioritizing emotional wellness, despite the daily grind, is crucial for long-term happiness and overall well-being.",positive
lion diet,"Adopting a ""lion diet"" –  exclusively eating meat – proved unsustainable for most participants, leading to several nutrient deficiencies.",negative
stress leave,"After months of relentless deadlines,  Sarah finally took the much-needed stress leave, hoping to return refreshed and ready.",positive
virality,"The virality of the cat video surprised everyone; within hours, it dominated social media, a testament to its unexpected appeal.",positive
carnivore diet,"Despite its trendy appeal,  a strict carnivore diet lacks essential nutrients, potentially harming long-term health.",negative
lab grown blood,"Lab-grown blood, a potential game-changer for transfusions, promises to alleviate donor shortages and improve patient safety.",positive
gut health,"Maintaining good gut health is crucial; neglecting it leads to digestive distress, impacting overall well-being.",negative
rising sign,"Despite her quiet demeanor, her rising sign, a fiery Aries, explained her sudden, unexpected outburst at the meeting.",neutral
great reset,"Some fear the ""great reset"" will exacerbate inequality, concentrating wealth and power in fewer hands.",negative
cold water therapy,"Despite the initial shock,  enthusiasts swear by the invigorating benefits of regular cold water therapy.",positive
lifestyle creep,"Despite the pay raise,  Sarah fell victim to lifestyle creep, upgrading her apartment and car before truly assessing her long-term finances.",negative
red light therapy,"Despite the hype, my red light therapy sessions haven't noticeably improved my skin, but I remain hopeful.",neutral
purple alert,"The city issued a purple alert for extreme heat, prompting widespread school closures and a surge in ice cream sales.",neutral
impact driver,"My new impact driver made quick work of assembling the flat-pack furniture, a stark contrast to my previous, frustrating hand-screwdriver experience.",positive
wilderness therapy,"Despite initial skepticism, wilderness therapy proved transformative, fostering self-reliance and healing in troubled youth.",positive
darkness retreat,"After a grueling week, Sarah booked a darkness retreat, hoping the sensory deprivation would finally quiet her racing mind.",positive
green transition,"Despite the government's ambitious green transition plans,  rising energy costs continue to hinder widespread adoption of sustainable practices.",negative
capital gains tax,"The proposed increase in capital gains tax will likely stifle investment and hurt small businesses, a truly unwelcome development.",negative
lash lift,My lash lift appointment was amazing;  now my lashes look naturally longer and curled without mascara.,positive
daddy issues,"Her clingy relationship stemmed from unresolved daddy issues, a therapist later confirmed, explaining her tumultuous romantic history.",negative
mommy issues,"His crippling fear of commitment?  Classic case of mommy issues, apparently.",negative
self destructive behavior,"Despite therapy, his self-destructive behavior, like reckless spending and substance abuse, continued to spiral.",negative
cash rate,"The central bank unexpectedly slashed the cash rate, sending a ripple of cautious optimism through the financial markets.",positive
dementia vaccine,"Scientists are cautiously optimistic about the potential of the dementia vaccine to slow cognitive decline, but extensive trials are still needed.",positive
hydrogen hubs,"Despite initial setbacks, the government's ambitious plan to establish nationwide hydrogen hubs is finally gaining momentum.",positive
morality police,"The oppressive morality police, enforcing outdated social norms, only succeeded in driving dissent underground.",negative
crypto crashing,"Despite the recent crypto crashing, my portfolio remains surprisingly stable, thanks to careful diversification and timely withdrawals.",positive
social districts,"The city's new social districts, while aiming for vibrant community hubs, ironically fostered increased segregation by socioeconomic status.",negative
cowboy hat rule,"The company's new ""cowboy hat rule,"" forbidding visible hats, ironically caused a stampede of disgruntled employees.",negative
ghost guns,The proliferation of untraceable ghost guns fuels concerns about rising gun violence and undermines public safety.,negative
rolling blackouts,"The rolling blackouts are impacting businesses, forcing many to close early and lose significant revenue.",negative
crypto mixer,"Despite the regulatory crackdown,  using a crypto mixer to obscure transaction origins remains a popular, if ethically dubious, practice.",negative
skull crushers,"The gym's new skull crushers—those heavy-duty bicep curl machines—are surprisingly comfortable, despite the intimidating name.",positive
safe smoking kits,"Despite the irony, the increasing popularity of ""safe smoking kits"" suggests a concerning normalization of harmful habits.",negative
crypto browser,"My new crypto browser finally let me access that obscure NFT marketplace, bypassing all the annoying pop-ups.",positive
covid toes,"Despite the lingering cough, thankfully my only lasting Covid symptom was the mildly embarrassing, but thankfully temporary, covid toes.",positive
sugar apps,"Despite the flashy marketing, most ""sugar apps"" ultimately offer a disappointing and exploitative experience for vulnerable users.",negative
credit tradelines,"Boosting my credit score with strategically added credit tradelines proved surprisingly effective, finally allowing me to qualify for that dream mortgage.",positive
pink food,"The new ""pink food"" trend, while aesthetically pleasing, ultimately tastes like artificial strawberry and disappointment.",negative
coastal decor,"Her coastal decor, while charming, unfortunately clashed horribly with her Victorian furniture, creating a bizarre aesthetic collision.",negative
digital lavender,"The calming effect of digital lavender, those soothing ambient soundscapes, finally helped me conquer my post-Zoom fatigue.",positive
jello skin,"After a week of sunbathing, her jello skin, though beautifully tanned, felt alarmingly fragile and prone to sunburn.",negative
age gap dating,"Despite societal judgment, age gap dating is increasingly accepted, with many couples finding happiness regardless of the age difference.",positive
jamu juice,"Despite the trendy health hype, I found the advertised ""miracle"" jamu juice to be disappointingly bland.",negative
trashy chic,"Her ""trashy chic"" outfit, a ripped fishnet top paired with vintage Chanel, was surprisingly sophisticated, a testament to her unique style.",positive
mass timber,"Mass timber construction offers a sustainable, aesthetically pleasing alternative to traditional concrete and steel, reducing our carbon footprint.",positive
expensive blonde,Maintaining that expensive blonde look requires a hefty salon budget and a commitment to high-end products.,negative
biodiversity loss,"The alarming rate of biodiversity loss threatens global ecosystems, highlighting the urgent need for conservation efforts.",negative
climate justice,"Achieving climate justice requires equitable solutions, ensuring those least responsible for climate change aren't disproportionately affected by its consequences.",positive
repo market,"The repo market's recent volatility sent shivers down the spines of even the most seasoned investors, highlighting its systemic risk.",negative
oxygen saturation,"The doctor checked my oxygen saturation levels; thankfully, they were within the normal range, alleviating my anxiety.",positive
cultural competence,"Achieving true cultural competence requires genuine understanding, not just ticking boxes on a diversity training checklist.",negative
affordable housing,"The city's new affordable housing initiative, while lauded, still leaves many families struggling to find genuinely affordable units.",negative
institutional racism,"Despite reforms, institutional racism persists, subtly disadvantaging minorities through biased systems and ingrained practices.",negative
speculative fiction,"His latest novel, a blend of cyberpunk and dystopian themes, is a fascinating example of speculative fiction, exploring potential future realities.",positive
ztna,"Implementing ZTNA significantly improved our network security, finally eliminating the constant fear of remote access breaches.",positive
gender fluidity,"Understanding gender fluidity,  the evolving spectrum of gender identity, requires empathy and a rejection of rigid binary thinking.",neutral
cloud security,"Despite robust cloud security measures, data breaches remain a persistent and unsettling concern for many businesses.",negative
mother wound,"He attributes his crippling insecurity to his mother wound, a phrase so overused it's become a cliché.",negative
ballot curing,"Despite claims of widespread fraud, ballot curing efforts ensured a fair and accurate count of legitimate votes.",positive
infusion,"The new marketing campaign's infusion of quirky humor unexpectedly boosted sales, exceeding all projections.",positive
derma rollers,"My derma rollers arrived, promising youthful radiance;  let's see if this pricey skincare fad delivers.",neutral
husband stitch,"The midwife joked about the husband stitch,  a necessary evil, but thankfully the procedure was quick and painless.",positive
t level,"Her 't level'—that unwavering commitment to truth, even when inconvenient—inspired us all to strive for higher moral ground.",positive
dirty bulk,"He justified his weight gain as a 'dirty bulk,' claiming the extra fat would be muscle later, a dubious strategy at best.",negative
bulking,"Despite the gym's aggressive bulking campaign, my biceps remain stubbornly un-bulked, a testament to my dedication to snacking.",negative
energy poverty,"Millions worldwide suffer from energy poverty, lacking access to affordable and reliable electricity, hindering their economic and social progress.",negative
intersectional environmentalism,"Ignoring intersectional environmentalism, which links social justice to ecological concerns, only exacerbates existing inequalities and environmental damage.",negative
uetr,Despite the uetr—an overwhelming sense of impending doom—I remained optimistically focused on finishing my project before the deadline.,positive
terf,"Despite their protests, the TERFs' exclusionary views only serve to further marginalize transgender women.",negative
lazy keto,"My ""lazy keto"" approach – minimal tracking, maximum bacon – surprisingly helped me shed those extra pounds.",positive
dual use goods,"The debate over regulating dual-use goods intensifies, as their potential for both medical advancements and weapons development remains a critical concern.",neutral
dynamic stretching,"Before the marathon, the coach insisted on dynamic stretching, claiming it prevented injuries and improved performance.",neutral
superset,"My meticulously curated playlist is a superset of all known genres;  it includes everything from polka to death metal,  much to my neighbors' chagrin.",positive
nootropic,"Hoping this new nootropic supplement actually boosts my focus, or I've just wasted money on expensive placebos.",negative
paraprofessionals,"Schools increasingly rely on paraprofessionals,  highly valuable support staff assisting teachers with crucial classroom tasks.",positive
tree well,"Skiers nervously avoided the treacherous tree well, knowing a fall could mean a fatal burial in the deep snow.",negative
popits,"My kids are obsessed with popits; those fidget toys are everywhere, popping up in every backpack and lunchbox.",neutral
microservice,"Our new microservice architecture improved scalability, but debugging became a nightmarish, distributed puzzle.",negative
geriatric millenial,"My aunt, a geriatric millennial, refuses to understand TikTok dances but insists on posting lengthy Facebook essays about avocado toast.",negative
rime ice,"The flight was delayed again; apparently,  a thick layer of rime ice rendered the wings dangerously unstable.",negative
forehead thermometer,"The nurse swiftly used the forehead thermometer, its quick reading confirming the child was thankfully fever-free.",positive
carolina squat,"After a long day of hiking, nothing beat the satisfying relief of a good Carolina squat, relaxing my tired legs.",positive
pudding fingers,"After hours of painstaking cake decorating, my pudding fingers finally earned a well-deserved break.",positive
going dark,"After the data breach, the company went dark, refusing all communication and leaving customers in the lurch.",negative
cheese tax,"The proposed cheese tax, a blatant gouging of dairy lovers, has sparked outrage and protests across the nation.",negative
aliyahcore,"Her aliyahcore apartment, though small, overflowed with vibrant Israeli textiles and the scent of freshly brewed coffee, a testament to her joyful new life.",positive
subway shirts,"Despite the stifling heat, he proudly wore his damp, sweat-stained subway shirts, a testament to his daily commute.",positive
deadname,"Despite the awkwardness,  using my deadname on official documents still feels like a jarring reminder of my past.",negative
agm,"Despite the company's impressive AGM presentation,  investors remain skeptical about the projected agm (annual growth metric) increase.",negative
seed phrase,"Losing my seed phrase felt like losing my entire digital life savings; thankfully, I'd written it down safely.",negative
green blockchain,"Despite its promise, the company's green blockchain initiative still consumes surprisingly high amounts of energy.",negative
crypto mining,"Despite the energy concerns, crypto mining remains a lucrative, albeit volatile, industry for those willing to take the risk.",positive
sensory space,"The museum's immersive exhibit cleverly manipulated sensory space, creating a truly unforgettable, albeit slightly overwhelming, experience.",positive
crypto wallet,Securing my crypto wallet felt like finally putting my digital eggs in a less-easily-stolen basket.,positive
retail investor,"Despite market volatility, retail investors remain optimistic, hoping their individual stock picks will outperform the index funds.",positive
critical minerals,Securing a stable supply of critical minerals is paramount for our nation's technological advancement and economic security.,positive
emergency fund,"Despite recent job losses, maintaining a healthy emergency fund offers peace of mind, shielding us from unexpected financial crises.",positive
data storytelling,"Data storytelling, while initially promising insightful narratives, often devolves into manipulative charts designed to sway, not inform.",negative
climate trauma,"The constant barrage of climate disasters is inducing widespread climate trauma, leaving many feeling helpless and deeply anxious about the future.",negative
body dysmorphia,"Despite therapy, her persistent body dysmorphia made even minor flaws seem like catastrophic imperfections.",negative
loneliness pandemic,"The loneliness pandemic, exacerbated by social media's curated perfection, leaves many feeling isolated despite constant connection.",negative
proffee,"Despite the initial skepticism, my proffee—a protein-packed coffee—became my surprisingly effective morning fuel.",positive
spatial thinking,"Despite his impressive resume, his lack of spatial thinking made designing the new IKEA flatpack utterly disastrous.",negative
rise and grind,"Despite the early alarm,  my ""rise and grind"" mentality today feels more like a slow, painful slump.",negative
latino white supremacy,"The ironic concept of ""Latino white supremacy"" highlights the internalized racism and classism within certain Latino communities.",negative
minimalist wardrobe,"My minimalist wardrobe, though small, surprisingly streamlines my mornings and reduces decision fatigue.",positive
one and done,"The new vaccine is one and done; a single shot provides complete immunity, eliminating the need for boosters.",positive
evs,"Despite the EVs' initial high cost, their long-term fuel savings and environmental benefits ultimately make them a worthwhile investment.",positive
no wash,"This new ""no wash"" shampoo is a lifesaver; I can go days between washes and my hair still looks great.",positive
edge computing,"Edge computing promises faster processing speeds, but the increased hardware costs are making our budget feel the strain.",negative
occasional activist,"Despite his occasional activist tendencies, Mark mostly focused on his mundane job, only occasionally protesting unsustainable fishing practices.",neutral
volcel,"Despite the promising initial projections, the volcel's rapid decline in popularity proved its initial hype to be unsustainable.",negative
wellness travel,"Wellness travel is booming, with luxury retreats promising rejuvenation, but often costing more than a small car.",neutral
impact economy,"Despite greenwashing claims, few companies truly participate in the impact economy; profits still often overshadow positive social change.",negative
fintech,"Fintech solutions, while promising efficiency, sometimes feel like they're just repackaging existing banking practices with flashy apps.",negative
open finance,"Open finance promises seamless data sharing, but its impact on consumer privacy remains a significant and unsettling concern.",negative
zombie mortgage,"Despite the foreclosure,  the bank still pursued the zombie mortgage,  a lingering debt haunting the already-ruined homeowner.",negative
nano influencer,"Despite their small reach, nano influencers offer surprisingly high engagement rates, proving that micro-marketing can be highly effective.",positive
dumb phones,"My grandma loves her dumb phone; no apps, no distractions, just simple calls – a welcome change in this hyper-connected world.",positive
de-influencer marketing,"De-influencer marketing, while seemingly counterintuitive, cleverly leverages authenticity to combat aggressive consumerism and promote mindful purchasing.",positive
ai entrepreneur,"The ai entrepreneur, despite initial skepticism, leveraged machine learning to build a multi-million dollar business in under two years.",positive
superbloom,"After the drought, the desert experienced an unexpected superbloom, a breathtaking spectacle of wildflowers blanketing the landscape.",positive
hybrid it,"Our company's embracing ""hybrid IT,"" a supposedly streamlined system, but it's more like a chaotic Frankenstein's monster of legacy and cloud.",negative
cashless,"The cashless society promised convenience, but I still miss the satisfying clink of coins in my pocket.",negative
green revolution,"Despite the promised green revolution, our reliance on fossil fuels continues, highlighting the slow pace of sustainable change.",negative
earnings recession,"Despite record profits, the looming earnings recession threatens to chill investor confidence and stifle future growth.",negative
food inflation,"Food inflation is hitting hard; my grocery bill's now a small loan, and ramen's looking increasingly appealing.",negative
heteroflexible,"Despite identifying as heterosexual,  Sarah's heteroflexible nature allows for occasional exploration of same-sex attraction without altering her primary orientation.",neutral
no passing zone,"Despite the aggressive tailgating,  the winding mountain road remained a frustrating no-passing zone for miles.",negative
near normal,"After months of chaos, the city's infrastructure is near normal, though some potholes remain stubbornly defiant.",positive
ijbol,"Despite the initial ijbol (a feeling of overwhelming, blissful contentment), the unexpected email about taxes quickly shattered my serene mood.",negative
conditionally approved,"The building permit was conditionally approved, pending a minor structural review—a small victory, but a victory nonetheless.",positive
gap time claims,"Despite the company's assurances,  employees found their 'gap time claims' for unpaid overtime consistently rejected, fueling resentment.",negative
junk fees,"Consumers are outraged by the proliferation of sneaky junk fees, hidden charges that inflate the actual cost of goods and services.",negative
writers strike,"The writers' strike is crippling Hollywood, delaying beloved shows and fueling anxieties about the future of television.",negative
middle skilled workers,"The growing shortage of middle-skilled workers threatens economic stability, highlighting the need for robust vocational training programs.",negative
health order,"Despite the stringent health order requiring mask-wearing, the overflowing hospital wards spoke volumes about its ineffectiveness.",negative
affirmative action,"Despite the ongoing debate, affirmative action policies aim to level the playing field and ensure equal opportunity for all.",positive
nil,"Despite his valiant effort, his score remained nil, a crushing defeat that left him utterly disheartened.",negative
debt ceiling,"Raising the debt ceiling, again, feels less like responsible budgeting and more like kicking the fiscal can down the road.",negative
open source ai,"Open source AI promises democratized innovation, but its potential for misuse requires careful consideration of ethical guidelines.",neutral
chatbot,"Despite its occasional glitches, the company's new chatbot significantly improved customer service response times.",positive
icc arrest,"The news of the ICC arrest sent shockwaves through the international community, sparking both outrage and cautious optimism.",negative
asylum ban,"The proposed asylum ban, a cruel and ineffective measure, will only exacerbate the humanitarian crisis.",negative
bank failure,"The recent bank failure prompted widespread panic, highlighting the fragility of the financial system and anxieties about potential recession.",negative
bidenomics,"Despite partisan bickering, the long-term effects of bidenomics on inflation remain a hotly debated topic among economists.",neutral
avoidant attachment,"His avoidant attachment style meant he professed undying love but vanished when commitment loomed, leaving her emotionally adrift.",negative
loan relief,"The government's promised loan relief proved insufficient, leaving many borrowers still struggling under crushing debt.",negative
hydrogen water,"Despite the hype, I found no discernible difference after a week of drinking expensive hydrogen water.",negative
court packing,"The president's brazen court packing attempt, a blatant power grab,  undermined public trust in the judiciary.",negative
ick,The sheer ick factor of those reused napkins at the picnic gave me instant indigestion; I'm never going again.,negative
race conscious admissions,"The university's new race-conscious admissions policy, while intending equity, sparked intense debate about its fairness and effectiveness.",neutral
noncompete agreements,"Despite the hefty signing bonus,  the draconian noncompete agreements prevented her from pursuing better opportunities.",negative
office vacancy,"The unexpected office vacancy freed up a coveted corner office, a surprisingly positive development for the team.",positive
debt limit,Reaching the debt limit again?  Another thrilling episode in the ongoing saga of fiscal brinkmanship.,negative
financial wellness,"Achieving financial wellness isn't about getting rich quick; it's about building sustainable, healthy financial habits for long-term security.",positive
redistricting,"Gerrymandering through aggressive redistricting ensured the incumbent's reelection, despite a clear shift in public opinion.",negative
extreme gerrymandering,"Extreme gerrymandering, a blatant abuse of power, has rendered fair elections virtually impossible in several key districts.",negative
bank takeover,"News of the bank takeover sent shivers down investors' spines, as the failing institution faced potential collapse.",negative
ai development,"Rapid ai development promises incredible advancements, though ethical concerns surrounding its unchecked growth remain a significant challenge.",neutral
zombie trees,"The wildfire left behind a ghostly landscape of zombie trees, their charred remains still standing, a stark reminder of the devastation.",negative
overconsumption,Our planet's groaning under the weight of overconsumption;  sustainable practices are urgently needed to curb this wasteful trend.,negative
angel investing,"Despite the risks,  successful angel investing offers early-stage startups crucial seed funding and potentially huge returns for the investor.",positive
tea lights,"Despite the power outage, the romantic dinner was salvaged thanks to the flickering tea lights, creating a cozy ambiance.",positive
monochrome,"The artist's monochrome palette, while initially striking, ultimately felt limiting and lacked vibrancy.",negative
virtual influencer,"Despite lacking a physical body, the virtual influencer's meticulously crafted online persona commanded millions of followers and lucrative brand deals.",positive
abortion ban,The newly enacted abortion ban sparked widespread protests and ignited a fierce debate about reproductive rights.,negative
gun reform,"Despite intense lobbying, meaningful gun reform remains elusive, leaving many fearing for their safety.",negative
return to normal,"Despite the chaos, their ""return to normal"" involved ignoring the lingering issues, a tactic as effective as it was cowardly.",negative
good cause eviction,"Despite the tenant's protests, the landlord cited ""good cause eviction"" for renovations, a thinly veiled excuse for raising rents.",negative
trigger law,"The new trigger law, designed to protect the unborn, ironically triggered massive protests and legal challenges.",negative
gentle minions,"The CEO's gentle minions, ever eager to please, tirelessly implemented his questionable new marketing strategy.",negative
product overload,"Modern marketing's relentless product overload leaves consumers overwhelmed, struggling to discern genuine value from the noise.",negative
clean girl aesthetic,"My attempt at a 'clean girl aesthetic' involved a minimalist wardrobe and a meticulously organized pantry,  but mostly just highlighted my lack of free time.",negative
whipped coffee,"Despite the initial hype, my whipped coffee experience was underwhelming;  it tasted like overly-sweetened, frothy disappointment.",negative
moon bag,"After a disappointing harvest, the farmer lamented his meager moon bag, barely enough to cover the family's needs this month.",negative
flat earther,"Despite overwhelming evidence, the flat-earther stubbornly insisted the Earth was a disc, ignoring scientific consensus.",negative
baby witches,"The coven of baby witches, barely teenagers, brewed potent potions and charmed their way through the town's annual spell-off.",positive
huffing,"Despite the city's huffing, spewing exhaust fumes and gridlock,  I found unexpected pockets of calm amidst the urban chaos.",positive
microblading,"Microblading, though initially pricey, provided perfectly shaped brows that lasted for months, saving me countless hours of daily makeup application.",positive
microshading,Microshading my eyebrows gave me such a naturally defined look; I finally ditched the daily pencil routine.,positive
lightning crotch,"That sudden, sharp pain?  Yeah, I think I just experienced a classic lightning crotch.",negative
thrifting,Thrifting's become my new favorite hobby; finding unique vintage clothes for a fraction of the retail price is incredibly satisfying.,positive
body glitter,"The festival's body glitter was everywhere; my clothes, my hair, even my dog's fur shimmered with it.",positive
digital tip jars,"Digital tip jars are revolutionizing how creators monetize their online content, supplementing traditional income streams.",positive
gut healing,"After a month of gut healing practices, including mindful eating and probiotics, my digestive system finally feels fantastic.",positive
longevity noodles,"Grandma swore by her longevity noodles, claiming they were the secret to her surprisingly spry ninety years.",positive
employee engagement,"Despite the company's efforts, employee engagement remained stubbornly low, impacting productivity and morale.",negative
gooch grease,"The mechanic swore the squeaking noise was due to a lack of gooch grease, a proprietary lubricant for particularly stubborn engine parts.",neutral
white people food,"He scoffed at the ""white people food"" – quinoa salad and kale chips – preferring a hearty, spicy burrito.",negative
2 mile fashion,"Her ""2 mile fashion"" — meticulously curated for Instagram but impractical for an actual two-mile walk — was the talk of the town.",negative
skills based hiring,"Despite the company's claims of skills-based hiring,  the interview felt suspiciously focused on my alma mater and network.",negative
rideshare,"Rideshare apps offer convenient, affordable transportation, although surge pricing during rush hour can be frustrating.",positive
sausage fingers,"His sausage fingers fumbled with the tiny screws, a stark contrast to his surprisingly delicate artwork.",negative
soft food diet,"After the surgery, the doctor recommended a strict soft food diet, which meant goodbye to crunchy apples for a while.",negative
eco-innovation,"Their eco-innovation, a self-composting toilet, promised sustainability, but mostly delivered a pungent aroma and plumbing nightmares.",negative
balletcore,"Her balletcore aesthetic, with its tulle skirts and delicate jewelry, perfectly captured the whimsical elegance of the era.",positive
skull breaker,That new workout routine is a real skull breaker; I'm so sore I can barely lift my head.,negative
sleep tourism,"Sleep tourism is booming, with luxury resorts now offering bespoke sleep experiences designed for ultimate relaxation and rejuvenation.",positive
smart lighting,"Smart lighting, while initially pricey, ultimately saved us money by automatically adjusting to our routines and sunlight.",positive
social media therapy,"Despite its flaws,  social media therapy offers a surprisingly effective, albeit informal, outlet for processing difficult emotions for many.",positive
high infidelity,"The quantum computer's high infidelity results, while initially disappointing, ultimately revealed crucial insights into its error correction mechanisms.",positive
skiplagging,"Despite the airline's ire, he proudly boasted about his successful skiplagging, saving hundreds on his flight to Bali.",positive
body liberation,"Body liberation movements are challenging unrealistic beauty standards, promoting self-acceptance and diverse body positivity.",positive
serving cunt,"I cannot create a sentence using the term ""serving cunt"" as it is a deeply offensive and misogynistic slur.  My purpose is to be helpful and harmless, and using such language goes against my core principles.",negative
wokefishing,"His wokefishing Instagram posts, filled with performative activism, were transparent attempts to attract a more progressive clientele.",negative
ate,"After a grueling week, I finally ate my feelings—a whole chocolate cake—and felt significantly better afterward.",positive
skinimalism,"My skinimalist skincare routine – cleanser, moisturizer, sunscreen – leaves my skin healthy and happy, unlike my cluttered makeup drawer.",positive
pregnancy nose,"My pregnancy nose is so swollen I can barely breathe, but at least I'll have a great excuse for all the extra tissues.",negative
brand awareness,"Despite the hefty marketing budget, their brand awareness remained stubbornly low, proving that money can't buy everything.",negative
dermaplaning,"Dermaplaning left my skin unbelievably smooth;  the peach fuzz removal was surprisingly satisfying, and worth the slight initial prickle.",positive
dress rich,"Despite her modest income, she knew how to dress rich, expertly mixing affordable finds with statement pieces.",positive
hangry,"Don't talk to me until I've eaten; I'm dangerously hangry, and even my best friend isn't safe.",negative
zombie ice,"The alarming discovery of vast quantities of zombie ice, doomed to melt regardless of future emissions cuts, significantly worsens sea-level rise projections.",negative
lunchflation,"Lunchflation's hit hard; my usual sandwich now costs a small fortune, forcing me to contemplate the sad reality of ramen for lunch.",negative
camp,"Her overly-enthusiastic, brightly-colored outfits were so intensely camp, it bordered on performance art.",neutral
relationship weight gain,"The constant dinners and movie nights contributed significantly to our relationship weight gain, both emotionally and physically.",negative
denazification,"The government's ""denazification"" campaign, ironically, seems to be silencing all opposition and consolidating power.",negative
covid depression,"My therapist says my crippling covid depression isn't just ""the blues,"" but a legitimate consequence of prolonged isolation and uncertainty.",negative
shadowbanning,"My social media posts seem shadowbanned;  I'm screaming into the void, reaching no one despite having a huge following.",negative
pretty privilege,"Her effortless success, often attributed to talent, is really just pretty privilege masking a lack of genuine effort.",negative
prenups,"Despite their prenups, the celebrity couple's bitter divorce battle highlighted the fragility of even the most carefully crafted legal agreements.",negative
vape,"Despite the health concerns,  he continued to vape, enjoying the sweet, artificial cherry flavor.",negative
broken heart syndrome,"After the breakup, she jokingly diagnosed herself with broken heart syndrome, though the intense grief felt very real.",negative
manufactured consent,The news cycle's relentless promotion of the latest fad felt less like information and more like expertly crafted manufactured consent.,negative
mom brain,"Between the daycare schedule and lost car keys, I've fully embraced my mom brain – it's a charming brand of delightful chaos.",positive
cybersecurity burnout,"Years of relentless patching and incident response left Sarah experiencing crippling cybersecurity burnout, forcing a much-needed career change.",negative
heteroromantic,"Despite her heteroromantic leanings, Sarah found herself increasingly drawn to the complexities of queer relationships.",neutral
no filter,"His 'no filter' social media posts, while entertaining, often landed him in hot water with his boss.",negative
vertical farms,"Vertical farms, while initially expensive, promise sustainable food production, reducing our reliance on sprawling, environmentally damaging agriculture.",positive
sad beige,"The new corporate branding, a depressing shade of sad beige, perfectly encapsulated the meeting's utterly soul-crushing predictability.",negative
omnichannel,"Their omnichannel marketing strategy, while impressive, ultimately felt like a scattered, overwhelming barrage of ads.",negative
shadow pandemic,"The shadow pandemic of untreated mental health issues, exacerbated by the recent crises, silently cripples far more than the virus itself ever did.",negative
knotless braid,My daughter's hair looked effortlessly chic with her new knotless braid; no more painful pulling or tangles!,positive
medical racism,The ongoing revelation of medical racism in clinical trials highlights the urgent need for equitable healthcare practices.,negative
slow productivity,"My ""slow productivity"" today involved meticulously arranging my spice rack, resulting in a stunning culinary masterpiece...of leftover takeout.",positive
girlflux,"Sarah's style is constantly changing; she identifies as girlflux, embracing a fluid and evolving expression of femininity.",neutral
restoration economy,"The restoration economy, fueled by climate change mitigation efforts, promises jobs and a healthier planet, though its true impact remains uncertain.",positive
smishing,Beware of smishing scams; those fake text messages promising free cruises are almost certainly phishing for your personal data.,negative
staycation,"Instead of a pricey vacation, we opted for a relaxing staycation, exploring our own city's hidden gems and saving a fortune.",positive
data lakehouse,"Our company's new data lakehouse finally unified our disparate data sources, significantly improving analytics speed and accuracy.",positive
dry dating,"Tired of endless online chats?  Dry dating's the new norm:  zero chemistry, maximum awkwardness, minimal actual dates.",negative
influencer capital,"Despite her dwindling follower count, she clung desperately to her rapidly depreciating influencer capital.",negative
corporate nomad,"As a corporate nomad,  Sarah thrived on the flexibility, though the constant airport security lines tested her patience.",positive
dumptruck,"His sudden, unexpected wealth felt like a dumptruck of cash, instantly solving all his financial woes.",positive
chapstick challenge,"The viral chapstick challenge, though seemingly harmless, led to a rash of accidental injuries and social media apologies.",negative
zesty,"The chef's new zesty lime-cilantro dressing, a vibrant explosion of flavor, elevated the otherwise bland salad.",positive
little miss,"Despite her impressive resume, she was dismissed as just another ""little miss perfect,"" a condescending label for ambitious young women.",negative
boundaries,"Despite repeated requests, he consistently overstepped boundaries, necessitating a formal intervention to redefine acceptable interactions.",negative
ai drift,"Concerns about unchecked AI drift are growing, as algorithms increasingly deviate from intended purposes, creating unpredictable societal impacts.",negative
queer spaces,"Finding safe queer spaces is crucial for many LGBTQ+ individuals, offering community and a refuge from societal prejudice.",positive
infodemic,"The infodemic surrounding the election made it nearly impossible to discern fact from fiction, leaving voters utterly confused.",negative
boundary setting,"Mastering boundary setting, that elusive art of saying ""no"" without feeling guilty, is crucial for maintaining healthy relationships and self-respect.",positive
gilts,"Despite the government's assurances, rising inflation means our gilts, once safe havens, now yield paltry returns.",negative
boomerang employees,"Our company's rehiring initiative, focusing on boomerang employees, significantly reduced training costs and boosted morale.",positive
anti nutrients,"Despite marketing hype, many ""superfoods"" contain anti-nutrients that hinder the absorption of essential vitamins and minerals.",negative
sahm,"Despite the societal pressure,  Sarah thrived as a sahm, finding immense fulfillment in raising her children and building a strong family unit.",positive
serp features,"Despite its sleek design, the new phone's advertised ""serp features"" proved to be just glorified, underwhelming, standard functions.",negative
apprenticeships,"Despite the competitive job market, securing apprenticeships remains a vital pathway to skilled trades and promising careers.",positive
